ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"56543","큐얼","0.00002","0.00007"
"56544","큐트","0.00001","0.00000"
"56545","큐티","0.00026","0.00020"
"56546","큐티클","0.00002","0.00000"
"56547","큐피드","0.00007","0.00006"
"56548","크나우스","0.00003","0.00000"
"56549","크나우어","0.00001","0.00000"
"56550","크나크다","0.00158","0.00138"
"56551","크노","0.00001","0.00002"
"56552","크노소스","0.00003","0.00002"
"56553","크노프","0.00001","0.00004"
"56554","크녹스","0.00002","0.00000"
"56555","크누드","0.00001","0.00004"
"56556","크누스","0.00004","0.00000"
"56557","크누트","0.00005","0.00004"
"56558","크다","0.28085","0.28014"
"56559","크다랗다","0.00001","0.00002"
"56560","크라","0.00011","0.00017"
"56561","크라머","0.00002","0.00002"
"56562","크라메르","0.00003","0.00004"
"56563","크라센","0.00006","0.00002"
"56564","크라수스","0.00006","0.00002"
"56565","크라스","0.00001","0.00004"
"56566","크라우더","0.00004","0.00011"
"56567","크라우디","0.00001","0.00002"
"56568","크라우스","0.00007","0.00007"
"56569","크라우제","0.00001","0.00002"
"56570","크라운","0.00011","0.00009"
"56571","크라이","0.00006","0.00015"
"56572","크라이슬러","0.00005","0.00007"
"56573","크라이시스","0.00001","0.00002"
"56574","크라이튼","0.00005","0.00020"
"56575","크라임","0.00011","0.00006"
"56576","크라잉","0.00002","0.00007"
"56577","크라카타우","0.00001","0.00004"
"56578","크라켄","0.00006","0.00017"
"56579","크라쿠프","0.00001","0.00000"
"56580","크라테스","0.00002","0.00000"
"56581","크라프트","0.00003","0.00000"
"56582","크락","0.00002","0.00000"
"56583","크란","0.00002","0.00000"
"56584","크란츠","0.00001","0.00002"
"56585","크래머","0.00001","0.00002"
"56586","크래쉬","0.00001","0.00000"
"56587","크래시","0.00014","0.00035"
"56588","크래커","0.00010","0.00015"
"56589","크래킹","0.00001","0.00004"
"56590","크래프트","0.00133","0.00058"
"56591","크랙","0.00003","0.00004"
