ESNTL_NO,WRD_NM,AFRM_SCORE_VALUE,NEGA_SCORE_VALUE
"10","가가미","0.00003","0.00000"
"11","가가호호","0.00002","0.00004"
"12","가각","0.00003","0.00004"
"13","가감","0.00128","0.00125"
"14","가개","0.00001","0.00004"
"15","가객","0.00002","0.00000"
"16","가갸","0.00002","0.00004"
"17","가거","0.00002","0.00002"
"18","가게","0.01447","0.01203"
"19","가겟","0.00003","0.00000"
"20","가격","0.02035","0.03072"
"21","가결","0.00005","0.00002"
"22","가경","0.00009","0.00009"
"23","가계","0.00430","0.00440"
"24","가고시마","0.00001","0.00013"
"25","가곡","0.00012","0.00009"
"26","가공","0.00256","0.00260"
"27","가과","0.00001","0.00000"
"28","가관","0.00020","0.00045"
"29","가교","0.00022","0.00015"
"30","가구","0.00450","0.00567"
"31","가구라","0.00004","0.00009"
"32","가구야","0.00001","0.00000"
"33","가국","0.00001","0.00002"
"34","가군","0.00003","0.00013"
"35","가그","0.00001","0.00000"
"36","가극","0.00002","0.00000"
"37","가글링","0.00001","0.00002"
"38","가금","0.00009","0.00006"
"39","가급","0.00117","0.00123"
"40","가급적","0.00003","0.00004"
"41","가기","0.00005","0.00011"
"42","가까스로","0.00078","0.00052"
"43","가까워다","0.00003","0.00007"
"44","가까이","0.01551","0.01362"
"45","가깝다","0.03456","0.03695"
"46","가꾸다","0.00607","0.00572"
"47","가꾸로","0.00001","0.00000"
"48","가끔","0.03183","0.03384"
"49","가나","0.00014","0.00020"
"50","가나가와","0.00001","0.00004"
"51","가나다","0.00030","0.00020"
"52","가나메","0.00001","0.00002"
"53","가나안","0.00016","0.00032"
"54","가나에","0.00043","0.00039"
"55","가나자와","0.00007","0.00013"
"56","가나코","0.00066","0.00056"
"57","가난","0.01973","0.01970"
"58","가내","0.00003","0.00004"
"59","가냘프다","0.00019","0.00032"
"60","가네","0.00005","0.00002"
"61","가네다","0.00001","0.00000"
"62","가네무라","0.00001","0.00000"
"63","가네샤","0.00002","0.00004"
"64","가네시로","0.00007","0.00002"
"65","가네코","0.00004","0.00030"
"66","가넷","0.00003","0.00007"
"67","가녀","0.00001","0.00000"
"68","가녀리다","0.00025","0.00035"
"69","가노","0.00021","0.00017"
"70","가누다","0.00029","0.00019"
"71","가느다랗다","0.00044","0.00046"
"72","가는","0.00001","0.00000"
"73","가늘다","0.00077","0.00067"
"74","가늠","0.00355","0.00344"
"75","가능","0.08764","0.09410"
"76","가니메데","0.00003","0.00000"
"77","가님","0.00004","0.00007"
"78","가다","0.15940","0.15482"
"79","가다니","0.00002","0.00002"
"80","가다듬다","0.00104","0.00141"
"81","가다랑어","0.00002","0.00000"
"82","가닥","0.00099","0.00104"
"83","가단","0.00012","0.00015"
"84","가달","0.00003","0.00006"
"85","가담","0.00077","0.00076"
"86","가덕","0.00002","0.00000"
"87","가데","0.00001","0.00000"
"88","가데스","0.00002","0.00000"
"89","가도","0.00052","0.00054"
"90","가도쿠라","0.00006","0.00002"
"91","가독","0.00357","0.00788"
"92","가동","0.00086","0.00065"
"93","가두","0.00003","0.00006"
"94","가두다","0.00354","0.00320"
"95","가드","0.00059","0.00059"
"96","가드너","0.00032","0.00024"
"97","가득","0.05561","0.04472"
"98","가득차다","0.00215","0.00219"
"99","가득히","0.00046","0.00046"
"100","가든","0.00050","0.00063"
"101","가등","0.00002","0.00004"
"102","가디","0.00006","0.00007"
"103","가디건","0.00009","0.00013"
"104","가디스","0.00001","0.00000"
"105","가디언","0.00062","0.00054"
"106","가딩","0.00002","0.00002"
"107","가뜩","0.00001","0.00004"
"108","가뜩이나","0.00055","0.00095"
"109","가라","0.00014","0.00013"
"110","가라다","0.00006","0.00002"
"111","가라사대다","0.00005","0.00000"
"112","가라사와","0.00002","0.00000"
"113","가라스","0.00006","0.00000"
"114","가라앉다","0.00258","0.00243"
"115","가라앉히다","0.00080","0.00069"
"116","가라오케","0.00001","0.00002"
"117","가라지","0.00001","0.00006"
"118","가라타니","0.00001","0.00007"
"119","가라테","0.00003","0.00002"
"120","가락","0.01565","0.01307"
"121","가락지","0.00005","0.00009"
"122","가란","0.00003","0.00028"
"123","가람","0.00061","0.00045"
"124","가랑","0.00075","0.00056"
"125","가랑이","0.00008","0.00009"
"126","가래","0.00044","0.00017"
"127","가랭이","0.00001","0.00004"
"128","가량","0.00168","0.00203"
"129","가렛","0.00005","0.00004"
"130","가려","0.00014","0.00013"
"131","가려내다","0.00073","0.00085"
"132","가려먹다","0.00004","0.00004"
"133","가려보다","0.00005","0.00004"
"134","가려뽑다","0.00004","0.00002"
"135","가려움","0.00025","0.00017"
"136","가려워하다","0.00002","0.00000"
"137","가력","0.00001","0.00000"
"138","가련","0.00004","0.00006"
"139","가련하다","0.00001","0.00004"
"140","가렴","0.00005","0.00002"
"141","가렵다","0.00111","0.00095"
"142","가령","0.00272","0.00424"
"143","가례","0.00004","0.00004"
"144","가로","0.00332","0.00269"
"145","가로놓이다","0.00004","0.00004"
"146","가로다","0.00008","0.00013"
"147","가로막다","0.00135","0.00141"
"148","가로막히다","0.00024","0.00022"
"149","가로수","0.00007","0.00009"
"150","가로쓰","0.00003","0.00002"
"151","가로젓다","0.00006","0.00000"
"152","가로지르다","0.00095","0.00072"
"153","가로채다","0.00051","0.00033"
"154","가로쿠","0.00001","0.00000"
"155","가록","0.00001","0.00004"
"156","가론","0.00001","0.00004"
"157","가뢰","0.00004","0.00000"
"158","가루","0.00704","0.00448"
"159","가루다","0.00001","0.00002"
"160","가룸","0.00001","0.00000"
"161","가륜","0.00002","0.00000"
"162","가르","0.00011","0.00006"
"163","가르강튀아","0.00001","0.00002"
"164","가르니에","0.00001","0.00000"
"165","가르다","0.00355","0.00437"
"166","가르델","0.00001","0.00000"
"167","가르드","0.00002","0.00002"
"168","가르랑","0.00004","0.00000"
"169","가르릉","0.00003","0.00002"
"170","가르마","0.00005","0.00002"
"171","가르보","0.00002","0.00019"
"172","가르시아","0.00017","0.00017"
"173","가르치다","0.03364","0.02979"
"174","가르침","0.00857","0.00827"
"175","가르키다","0.00382","0.00403"
"176","가를","0.00002","0.00000"
"177","가름","0.00066","0.00099"
"178","가릉","0.00001","0.00006"
"179","가리","0.00082","0.00097"
"180","가리다","0.01226","0.01232"
"181","가리발디","0.00001","0.00002"
"182","가리봉","0.00003","0.00002"
"183","가리비","0.00008","0.00013"
"184","가리온","0.00003","0.00000"
"185","가리우다","0.00011","0.00022"
"186","가리치다","0.00002","0.00004"
"187","가리키다","0.00170","0.00191"
"188","가린","0.00001","0.00002"
"189","가림","0.00060","0.00046"
"190","가마","0.00117","0.00065"
"191","가마귀","0.00002","0.00000"
"192","가마니","0.00012","0.00007"
"193","가마우지","0.00005","0.00000"
"194","가마쿠라","0.00019","0.00007"
"195","가마타","0.00001","0.00002"
"196","가만","0.00123","0.00130"
"197","가만가만","0.00021","0.00020"
"198","가만가만히","0.00001","0.00000"
"199","가만두다","0.00018","0.00006"
"200","가만이","0.00006","0.00004"
"201","가만있다","0.00020","0.00017"
"202","가만히","0.00866","0.00983"
"203","가망","0.00039","0.00028"
"204","가맹","0.00018","0.00017"
"205","가메","0.00008","0.00022"
"206","가메오카","0.00005","0.00002"
"207","가메이","0.00001","0.00000"
"208","가면","0.00335","0.00309"
"209","가멸","0.00001","0.00002"
"210","가명","0.00071","0.00039"
"211","가모","0.00010","0.00011"
"212","가모브","0.00001","0.00000"
"213","가모우","0.00008","0.00007"
"214","가몬","0.00001","0.00002"
"215","가묘","0.00002","0.00002"
"216","가무","0.00006","0.00009"
"217","가문","0.00415","0.00381"
"218","가문비","0.00094","0.00039"
"219","가물","0.00010","0.00007"
"220","가물가물","0.00123","0.00100"
"221","가물거리다","0.00015","0.00022"
"222","가물다","0.00056","0.00052"
"223","가물치","0.00003","0.00002"
"224","가뭄","0.00132","0.00104"
"225","가뭇없다","0.00001","0.00002"
"226","가뭇없이","0.00002","0.00002"
"227","가미","0.00290","0.00331"
"228","가미스","0.00002","0.00009"
"229","가미야","0.00005","0.00004"
"230","가미카제","0.00003","0.00004"
"231","가민","0.00004","0.00000"
"232","가바","0.00002","0.00006"
"233","가바나","0.00001","0.00000"
"234","가발","0.00053","0.00026"
"235","가방","0.01206","0.01005"
"236","가배","0.00001","0.00004"
"237","가버","0.00001","0.00002"
"238","가버나움","0.00002","0.00000"
"239","가버리다","0.00003","0.00002"
"240","가법","0.00002","0.00004"
"241","가베","0.00025","0.00000"
"242","가벼이","0.00039","0.00069"
"243","가벽","0.00002","0.00002"
"244","가변","0.00020","0.00017"
"245","가볍다","0.02977","0.05351"
"246","가보","0.00028","0.00000"
"247","가보르","0.00018","0.00017"
"248","가보세","0.00002","0.00000"
"249","가본","0.00023","0.00013"
"250","가봉","0.00004","0.00000"
"251","가부","0.00229","0.00180"
"252","가부키","0.00007","0.00002"
"253","가부키초","0.00003","0.00002"
"254","가분","0.00049","0.00035"
"255","가불","0.00004","0.00004"
"256","가브","0.00001","0.00000"
"257","가브리엘","0.00097","0.00113"
"258","가브리엘라","0.00004","0.00024"
"259","가브리엘레","0.00001","0.00000"
"260","가브리엘로","0.00001","0.00002"
"261","가비","0.00050","0.00072"
"262","가비알","0.00003","0.00002"
"263","가빈","0.00007","0.00000"
"264","가빠지다","0.00008","0.00004"
"265","가뿐히","0.00013","0.00020"
"266","가쁘다","0.00111","0.00097"
"267","가사","0.00501","0.00405"
"268","가사리","0.00001","0.00000"
"269","가사오카","0.00001","0.00000"
"270","가산","0.00043","0.00037"
"271","가살","0.00001","0.00000"
"272","가상","0.00981","0.00963"
"273","가새","0.00001","0.00002"
"274","가색","0.00001","0.00000"
"275","가서","0.00001","0.00002"
"276","가서도","0.00002","0.00000"
"277","가설","0.00267","0.00375"
"278","가섭","0.00001","0.00002"
"279","가성","0.00006","0.00009"
"280","가세","0.00039","0.00046"
"281","가세트","0.00001","0.00000"
"282","가소","0.00034","0.00024"
"283","가소롭다","0.00001","0.00002"
"284","가소성","0.00006","0.00002"
"285","가속","0.00214","0.00171"
"286","가솔","0.00001","0.00000"
"287","가솔린","0.00012","0.00004"
"288","가수","0.00402","0.00483"
"289","가스","0.00554","0.00433"
"290","가스라기","0.00001","0.00000"
"291","가스미","0.00016","0.00002"
"292","가스코뉴","0.00001","0.00000"
"293","가스트","0.00001","0.00002"
"294","가스틴","0.00001","0.00000"
"295","가스파르","0.00014","0.00009"
"296","가스파리니","0.00001","0.00000"
"297","가스펠","0.00001","0.00000"
"298","가슬가슬","0.00001","0.00000"
"299","가슴","0.05535","0.04325"
"300","가습","0.00044","0.00019"
"301","가시","0.00552","0.00619"
"302","가시나","0.00006","0.00002"
"303","가시내","0.00001","0.00009"
"304","가시다","0.00246","0.00180"
"305","가시리","0.00003","0.00000"
"306","가시마","0.00001","0.00004"
"307","가시박","0.00001","0.00000"
"308","가시와바라","0.00002","0.00000"
"309","가식","0.00094","0.00130"
"310","가신","0.00015","0.00013"
"311","가실","0.00004","0.00007"
"312","가심","0.00005","0.00006"
"313","가십","0.00015","0.00024"
"314","가십걸","0.00001","0.00011"
"315","가쓰","0.00008","0.00015"
"316","가쓰노리","0.00001","0.00002"
"317","가쓰라","0.00002","0.00000"
"318","가쓰라기","0.00014","0.00013"
"319","가쓰미","0.00004","0.00004"
"320","가쓰시카","0.00001","0.00000"
"321","가쓰아키","0.00001","0.00000"
"322","가쓰야","0.00003","0.00000"
"323","가쓰오","0.00004","0.00000"
"324","가쓰토","0.00004","0.00002"
"325","가쓰히로","0.00003","0.00000"
"326","가쓰히코","0.00004","0.00000"
"327","가아","0.00004","0.00007"
"328","가아더","0.00004","0.00002"
"329","가아라","0.00003","0.00000"
"330","가액","0.00010","0.00015"
"331","가야","0.00086","0.00104"
"332","가야노","0.00002","0.00000"
"333","가야마","0.00011","0.00007"
"334","가야지","0.00014","0.00009"
"335","가약","0.00002","0.00002"
"336","가양","0.00002","0.00000"
"337","가어","0.00002","0.00002"
"338","가언","0.00002","0.00000"
"339","가업","0.00057","0.00069"
"340","가에데","0.00015","0.00020"
"341","가에타노","0.00001","0.00000"
"342","가에탕","0.00001","0.00000"
"343","가여","0.00003","0.00002"
"344","가역","0.00011","0.00009"
"345","가연","0.00012","0.00013"
"346","가열","0.00027","0.00030"
"347","가열차다","0.00006","0.00019"
"348","가엷다","0.00001","0.00002"
"349","가엽다","0.00074","0.00067"
"350","가엾다","0.00079","0.00084"
"351","가엾이","0.00002","0.00002"
"352","가영","0.00038","0.00009"
"353","가예","0.00004","0.00000"
"354","가오","0.00004","0.00000"
"355","가오루","0.00022","0.00026"
"356","가오루코","0.00014","0.00002"
"357","가오리","0.00191","0.00429"
"358","가오슝","0.00003","0.00002"
"359","가옥","0.00046","0.00030"
"360","가온","0.00017","0.00004"
"361","가와","0.00007","0.00009"
"362","가와구치","0.00005","0.00000"
"363","가와노","0.00001","0.00004"
"364","가와무라","0.00007","0.00000"
"365","가와미나미","0.00003","0.00000"
"366","가와바타","0.00022","0.00045"
"367","가와사키","0.00005","0.00007"
"368","가와세","0.00001","0.00000"
"369","가와시마","0.00004","0.00000"
"370","가와이","0.00029","0.00019"
"371","가와즈","0.00006","0.00000"
"372","가와치","0.00001","0.00000"
"373","가와카미","0.00005","0.00004"
"374","가와타니","0.00002","0.00000"
"375","가와하라","0.00004","0.00002"
"376","가왕","0.00006","0.00002"
"377","가외","0.00003","0.00002"
"378","가욋","0.00001","0.00000"
"379","가요","0.00626","0.00494"
"380","가요코","0.00012","0.00033"
"381","가용","0.00020","0.00024"
"382","가우","0.00016","0.00015"
"383","가우디","0.00098","0.00084"
"384","가우스","0.00029","0.00026"
"385","가우초","0.00001","0.00000"
"386","가운","0.00041","0.00039"
"387","가운데","0.02180","0.02100"
"388","가운뎃","0.00003","0.00006"
"389","가원","0.00006","0.00002"
"390","가위","0.00280","0.00188"
"391","가위눌리다","0.00003","0.00007"
"392","가위바위보","0.00049","0.00009"
"393","가윈","0.00010","0.00000"
"394","가은","0.00018","0.00004"
"395","가을","0.01336","0.01028"
"396","가의","0.00182","0.00216"
"397","가이","0.00011","0.00011"
"398","가이다","0.00003","0.00006"
"399","가이던스","0.00001","0.00000"
"400","가이드","0.01176","0.00983"
"401","가이먼","0.00001","0.00000"
"402","가이아","0.00067","0.00084"
"403","가이어","0.00002","0.00000"
"404","가이우스","0.00017","0.00004"
"405","가이즈","0.00012","0.00015"
"406","가인","0.00026","0.00067"
"407","가일층","0.00001","0.00000"
"408","가임","0.00015","0.00019"
"409","가입","0.00490","0.00571"
"410","가자","0.00015","0.00017"
"411","가자마","0.00004","0.00007"
"412","가자미","0.00016","0.00007"
"413","가작","0.00005","0.00002"
"414","가잠","0.00001","0.00000"
"415","가장","0.20675","0.19262"
"416","가장이","0.00001","0.00000"
"417","가재","0.00063","0.00043"
"418","가재미","0.00004","0.00009"
"419","가저","0.00003","0.00000"
"420","가저리","0.00002","0.00000"
"421","가적","0.00002","0.00002"
"422","가전","0.00112","0.00104"
"423","가점","0.00020","0.00019"
"424","가정","0.03518","0.03453"
"425","가정맹어호","0.00003","0.00000"
"426","가제","0.00009","0.00011"
"427","가제트","0.00005","0.00000"
"428","가젤","0.00051","0.00041"
"429","가져가다","0.00572","0.00467"
"430","가져다주다","0.00284","0.00292"
"431","가져오다","0.01483","0.01349"
"432","가조","0.00001","0.00000"
"433","가족","0.12735","0.10780"
"434","가주","0.00002","0.00011"
"435","가죽","0.00209","0.00180"
"436","가중","0.00086","0.00165"
"437","가즈","0.00024","0.00006"
"438","가즈노","0.00001","0.00006"
"439","가즈노리","0.00001","0.00000"
"440","가즈마","0.00012","0.00002"
"441","가즈마사","0.00018","0.00004"
"442","가즈미","0.00012","0.00006"
"443","가즈시","0.00001","0.00000"
"444","가즈시게","0.00001","0.00002"
"445","가즈아키","0.00017","0.00022"
"446","가즈야","0.00020","0.00026"
"447","가즈에","0.00005","0.00006"
"448","가즈오","0.00078","0.00074"
"449","가즈요시","0.00001","0.00000"
"450","가즈유키","0.00002","0.00032"
"451","가즈코","0.00020","0.00024"
"452","가즈키","0.00039","0.00037"
"453","가즈토","0.00005","0.00017"
"454","가즈히로","0.00008","0.00002"
"455","가즈히사","0.00002","0.00000"
"456","가즈히코","0.00009","0.00032"
"457","가증","0.00003","0.00000"
"458","가지","0.02435","0.02407"
"459","가지가다","0.00001","0.00002"
"460","가지다","0.27436","0.26797"
"461","가지런히","0.00040","0.00043"
"462","가지마","0.00004","0.00000"
"463","가직","0.00003","0.00004"
"464","가진","0.00001","0.00004"
"465","가질","0.00003","0.00004"
"466","가짐","0.00844","0.00781"
"467","가짓","0.00024","0.00024"
"468","가징","0.00002","0.00000"
"469","가짜","0.00652","0.00552"
"470","가차","0.00037","0.00033"
"471","가차없이","0.00034","0.00032"
"472","가창","0.00008","0.00000"
"473","가채","0.00002","0.00000"
"474","가책","0.00057","0.00054"
"475","가천","0.00002","0.00002"
"476","가청","0.00001","0.00000"
"477","가체","0.00002","0.00002"
"478","가촌","0.00001","0.00000"
"479","가추","0.00003","0.00002"
"480","가축","0.00170","0.00106"
"481","가출","0.00294","0.00277"
"482","가츠키","0.00001","0.00000"
"483","가치","0.07817","0.08146"
"484","가치세","0.00023","0.00009"
"485","가치주","0.00019","0.00011"
"486","가친","0.00002","0.00000"
"487","가칠","0.00001","0.00000"
"488","가칭","0.00002","0.00000"
"489","가쿠","0.00016","0.00024"
"490","가쿠다","0.00007","0.00000"
"491","가쿠인","0.00001","0.00000"
"492","가쿠타","0.00006","0.00015"
"493","가키자와","0.00001","0.00000"
"494","가키자키","0.00002","0.00000"
"495","가타","0.00016","0.00019"
"496","가타야마","0.00004","0.00000"
"497","가타오카","0.00003","0.00002"
"498","가타카","0.00005","0.00000"
"499","가타카나","0.00012","0.00004"
"500","가탈","0.00008","0.00000"
"501","가택","0.00010","0.00009"
"502","가터","0.00002","0.00002"
"503","가토","0.00041","0.00045"
"504","가톨릭","0.00115","0.00165"
"505","가통","0.00011","0.00004"
"506","가투","0.00003","0.00002"
"507","가트","0.00006","0.00009"
"508","가트너","0.00003","0.00007"
"509","가트맨","0.00015","0.00009"
"510","가파","0.00011","0.00004"
"511","가파르다","0.00062","0.00048"
"512","가판","0.00012","0.00022"
"513","가펑클","0.00004","0.00000"
"514","가편","0.00002","0.00000"
"515","가평","0.00011","0.00011"
"516","가포","0.00001","0.00000"
"517","가품","0.00003","0.00002"
"518","가풍","0.00010","0.00026"
"519","가프","0.00002","0.00002"
"520","가프다","0.00002","0.00002"
"521","가피","0.00001","0.00000"
"522","가필","0.00003","0.00004"
"523","가필드","0.00002","0.00002"
"524","가하","0.00001","0.00002"
"525","가하다","0.00183","0.00160"
"526","가하라","0.00001","0.00000"
"527","가학","0.00022","0.00033"
"528","가함","0.00002","0.00007"
"529","가해","0.00559","0.00452"
"530","가현","0.00002","0.00007"
"531","가형","0.00003","0.00002"
"532","가호","0.00020","0.00028"
"533","가혹","0.00236","0.00255"
"534","가화","0.00005","0.00004"
"535","가황","0.00001","0.00002"
"536","가회","0.00002","0.00002"
"537","가후","0.00005","0.00002"
"538","가훈","0.00044","0.00048"
"539","가희","0.00025","0.00072"
"540","가히","0.00171","0.00197"
"541","각가","0.00006","0.00009"
"542","각각","0.02412","0.02333"
"543","각개","0.00007","0.00002"
"544","각계","0.00046","0.00041"
"545","각고","0.00023","0.00033"
"546","각골","0.00005","0.00002"
"547","각과","0.00005","0.00002"
"548","각관","0.00008","0.00030"
"549","각광","0.00133","0.00134"
"550","각국","0.00281","0.00255"
"551","각궁","0.00001","0.00002"
"552","각권","0.00016","0.00028"
"553","각급","0.00004","0.00000"
"554","각기","0.00549","0.00515"
"555","각다","0.00023","0.00015"
"556","각다귀","0.00002","0.00002"
"557","각도","0.00281","0.00277"
"558","각력","0.00001","0.00000"
"559","각론","0.00015","0.00013"
"560","각료","0.00003","0.00004"
"561","각루","0.00001","0.00000"
"562","각류","0.00007","0.00006"
"563","각막","0.00013","0.00011"
"564","각목","0.00003","0.00007"
"565","각반","0.00002","0.00002"
"566","각방","0.00006","0.00007"
"567","각별","0.00083","0.00059"
"568","각별히","0.00022","0.00007"
"569","각본","0.00077","0.00095"
"570","각본상","0.00003","0.00002"
"571","각부","0.00003","0.00000"
"572","각비","0.00002","0.00000"
"573","각사","0.00003","0.00004"
"574","각색","0.00269","0.00370"
"575","각생","0.00001","0.00002"
"576","각서","0.00010","0.00006"
"577","각선","0.00003","0.00004"
"578","각설","0.00034","0.00061"
"579","각설이","0.00001","0.00002"
"580","각성","0.00155","0.00177"
"581","각수","0.00006","0.00002"
"582","각시","0.00133","0.00089"
"583","각시탈","0.00003","0.00002"
"584","각신","0.00027","0.00037"
"585","각심","0.00002","0.00002"
"586","각안","0.00001","0.00002"
"587","각양","0.00088","0.00071"
"588","각연","0.00001","0.00002"
"589","각오","0.00257","0.00221"
"590","각왕","0.00001","0.00000"
"591","각운","0.00002","0.00004"
"592","각의","0.00024","0.00030"
"593","각이","0.00021","0.00020"
"594","각인","0.00341","0.00346"
"595","각자","0.02566","0.02420"
"596","각장","0.00052","0.00041"
"597","각재","0.00001","0.00000"
"598","각저","0.00001","0.00002"
"599","각정","0.00002","0.00000"
"600","각족","0.00001","0.00000"
"601","각종","0.01273","0.01163"
"602","각주","0.00089","0.00212"
"603","각지","0.00102","0.00074"
"604","각지다","0.00003","0.00004"
"605","각질","0.00013","0.00006"
"606","각처","0.00003","0.00004"
"607","각천","0.00001","0.00000"
"608","각체","0.00005","0.00011"
"609","각축","0.00020","0.00009"
"610","각출","0.00001","0.00002"
"611","각층","0.00038","0.00030"
"612","각하","0.00014","0.00020"
"613","각해","0.00001","0.00000"
"614","각혈","0.00002","0.00002"
"615","각형","0.00005","0.00015"
"616","각화","0.00003","0.00002"
"617","간가","0.00001","0.00007"
"618","간간","0.00003","0.00006"
"619","간간이","0.00077","0.00136"
"620","간간히","0.00170","0.00258"
"621","간걸","0.00002","0.00009"
"622","간격","0.00177","0.00238"
"623","간결","0.00039","0.00065"
"624","간결히","0.00004","0.00009"
"625","간경","0.00004","0.00004"
"626","간경변","0.00002","0.00002"
"627","간계","0.00009","0.00002"
"628","간고","0.00001","0.00000"
"629","간곡히","0.00010","0.00017"
"630","간과","0.00358","0.00396"
"631","간관","0.00001","0.00004"
"632","간교","0.00012","0.00017"
"633","간구","0.00020","0.00009"
"634","간균","0.00001","0.00000"
"635","간극","0.00123","0.00147"
"636","간기능","0.00001","0.00004"
"637","간나","0.00003","0.00000"
"638","간난","0.00010","0.00007"
"639","간년","0.00002","0.00004"
"640","간노","0.00001","0.00000"
"641","간뇌","0.00001","0.00000"
"642","간다","0.00010","0.00009"
"643","간다라","0.00003","0.00000"
"644","간단","0.00005","0.00007"
"645","간단간단히","0.00001","0.00000"
"646","간단히","0.00502","0.00641"
"647","간달프","0.00004","0.00004"
"648","간담","0.00028","0.00024"
"649","간당","0.00002","0.00000"
"650","간당간당","0.00005","0.00015"
"651","간대","0.00004","0.00002"
"652","간데없다","0.00002","0.00006"
"653","간도","0.00020","0.00032"
"654","간두","0.00003","0.00004"
"655","간드러지다","0.00001","0.00002"
"656","간디","0.00046","0.00043"
"657","간락","0.00002","0.00000"
"658","간략","0.00027","0.00052"
"659","간략히","0.00095","0.00108"
"660","간만","0.00043","0.00039"
"661","간만에","0.00004","0.00004"
"662","간명","0.00001","0.00002"
"663","간바라","0.00003","0.00015"
"664","간발","0.00008","0.00006"
"665","간병","0.00099","0.00175"
"666","간본","0.00005","0.00004"
"667","간부","0.00074","0.00110"
"668","간빙","0.00003","0.00009"
"669","간사","0.00021","0.00024"
"670","간상","0.00001","0.00000"
"671","간서","0.00018","0.00020"
"672","간선","0.00005","0.00007"
"673","간섭","0.00243","0.00195"
"674","간성","0.00002","0.00000"
"675","간세","0.00006","0.00000"
"676","간소","0.00003","0.00002"
"677","간송","0.00051","0.00026"
"678","간수","0.00033","0.00030"
"679","간스케","0.00002","0.00000"
"680","간식","0.00574","0.00348"
"681","간신","0.00069","0.00022"
"682","간신히","0.00179","0.00203"
"683","간아","0.00002","0.00007"
"684","간악","0.00002","0.00000"
"685","간암","0.00018","0.00015"
"686","간양","0.00002","0.00002"
"687","간언","0.00008","0.00007"
"688","간여","0.00003","0.00006"
"689","간염","0.00019","0.00015"
"690","간요","0.00001","0.00000"
"691","간웅","0.00007","0.00015"
"692","간음","0.00011","0.00007"
"693","간의","0.00002","0.00004"
"694","간이","0.00015","0.00019"
"695","간이치","0.00002","0.00000"
"696","간인","0.00001","0.00002"
"697","간자","0.00005","0.00004"
"698","간자키","0.00001","0.00000"
"699","간작","0.00001","0.00000"
"700","간장","0.00185","0.00087"
"701","간적","0.00004","0.00000"
"702","간전","0.00001","0.00000"
"703","간절히","0.00449","0.00457"
"704","간점","0.00001","0.00002"
"705","간접","0.00761","0.00812"
"706","간정","0.00002","0.00000"
"707","간조","0.00005","0.00004"
"708","간주","0.00149","0.00188"
"709","간증","0.00033","0.00035"
"710","간지","0.00073","0.00050"
"711","간지럼","0.00027","0.00013"
"712","간지럽다","0.00061","0.00039"
"713","간지럽히다","0.00015","0.00013"
"714","간지르다","0.00006","0.00013"
"715","간직","0.00874","0.00760"
"716","간질","0.00042","0.00032"
"717","간질간질","0.00058","0.00035"
"718","간질거리다","0.00003","0.00007"
"719","간질다","0.00001","0.00004"
"720","간질이다","0.00009","0.00009"
"721","간찰","0.00002","0.00000"
"722","간책","0.00001","0.00000"
"723","간척","0.00015","0.00007"
"724","간첩","0.00065","0.00099"
"725","간청","0.00020","0.00026"
"726","간체","0.00008","0.00006"
"727","간추","0.00001","0.00004"
"728","간추리다","0.00091","0.00100"
"729","간칭","0.00003","0.00000"
"730","간타로","0.00001","0.00000"
"731","간탄","0.00001","0.00000"
"732","간택","0.00032","0.00037"
"733","간토","0.00008","0.00000"
"734","간통","0.00023","0.00030"
"735","간트","0.00003","0.00000"
"736","간파","0.00127","0.00164"
"737","간판","0.00150","0.00162"
"738","간판쟁이","0.00001","0.00000"
"739","간편히","0.00005","0.00004"
"740","간평","0.00002","0.00006"
"741","간하다","0.00002","0.00000"
"742","간행","0.00040","0.00076"
"743","간헐","0.00120","0.00104"
"744","간호","0.00642","0.00546"
"745","간혹","0.00465","0.00647"
"746","간혼","0.00001","0.00004"
"747","간화","0.00001","0.00002"
"748","간힘","0.00095","0.00145"
"749","갇히다","0.01104","0.01085"
"750","갈가리","0.00008","0.00019"
"751","갈갈","0.00001","0.00000"
"752","갈겨니","0.00003","0.00000"
"753","갈고","0.00002","0.00000"
"754","갈고닦다","0.00030","0.00028"
"755","갈고리","0.00023","0.00028"
"756","갈구","0.00141","0.00178"
"757","갈구다","0.00007","0.00019"
"758","갈근","0.00001","0.00000"
"759","갈급","0.00017","0.00026"
"760","갈기","0.00038","0.00041"
"761","갈기갈기","0.00018","0.00022"
"762","갈기다","0.00018","0.00037"
"763","갈다","0.23225","0.21113"
"764","갈대","0.00014","0.00007"
"765","갈등","0.01997","0.02150"
"766","갈라","0.00003","0.00000"
"767","갈라놓다","0.00034","0.00043"
"768","갈라다","0.00003","0.00000"
"769","갈라드","0.00001","0.00000"
"770","갈라디아","0.00004","0.00007"
"771","갈라서다","0.00014","0.00024"
"772","갈라지다","0.00145","0.00158"
"773","갈라치다","0.00004","0.00000"
"774","갈라테아","0.00001","0.00006"
"775","갈라테이아","0.00003","0.00006"
"776","갈라파고스","0.00036","0.00020"
"777","갈란드","0.00001","0.00002"
"778","갈란트","0.00004","0.00009"
"779","갈랑","0.00001","0.00000"
"780","갈래","0.00130","0.00132"
"781","갈래갈래","0.00002","0.00000"
"782","갈랜드","0.00001","0.00002"
"783","갈런드","0.00004","0.00000"
"784","갈레","0.00008","0.00002"
"785","갈레노스","0.00004","0.00009"
